instance_option,cost_structure,dissipate_option,absorbing_option,k_init,Ni,Nj,tau,safe_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,63977.48489,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63977.48489,0,0,0,0,0,0,0,0,0,0,0,63977.48489,36517.24015,133.5037681,,,,,,,,
1,0,0,0,1,3,10,0.5,0,68993.76076,9114.181636,95.48488619,53.82964954,56.65758174,58.57320437,302.9412098,919.0954603,4375.511574,0,1,0.489,0.03,0.014,0.008,0.01,0.015,0.054,0.238,0,68993.76076,18638.40825,3182.82954,3844.974967,7082.197718,5857.320437,20196.08031,17020.28629,18384.50236,0,0,0,0,0,0,0,0,0,0,0,61428.05098,56568.19329,191.906753,,,,,,,,
1,0,0,0,1,3,10,5,0,125178.7624,0,0,0,0,0,0,0,44.54127666,0,1,0,0,0,0,0,0,0,0.001,0,125178.7624,0,0,0,0,0,0,0,44541.27666,0,0,0,0,0,0,0,0,2.33E-13,0,0,63746.82381,97837.89858,208.3371544,,,,,,,,
1,1,0,0,1,3,10,2,2,0,0,0,0,0,0,59406.88741,0,8923.509014,0,0,0,0,0,0,0,1,0,0.396,0,0,0,0,0,0,0,59406.88741,0,22534.11367,0,0,0,0,0,0,0,0,0,0,0,61503.36468,40877.9962,141.3482831,,,,,,,,
1,1,0,0,1,3,10,5,2,0,0,0,0,0,0,78069.00356,0,1776.823954,0,0,0,0,0,0,0,1,0,0.114,0,0,0,0,0,0,0,78069.00356,0,15586.17503,0,0,0,0,0,0,0,0,0,0,0,62678.93246,52429.60969,177.5306833,,,,,,,,
1,1,0,0,1,3,10,10,2,0,0,0,0,0,0,86023.5123,0,292.8524832,0,0,0,0,0,0,0,1,0,0.023,0,0,0,0,0,0,0,86023.5123,0,12732.71666,0,0,0,0,0,0,0,0,0,0,0,63427.44439,58948.5046,225.888321,,,,,,,,
2,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,34697.3678,0,0,0,0,0,0,0,0,0,0,0,0.717,0,0,0,0,0,0,0,0,0,0,0,48392.42371,0,0,0,0,0,0,0,0,0,0,0,0,0,34697.3678,21994.14453,231.485404
2,0,0,0,1,3,10,0.5,0,51066.76415,-9.82E-13,-2.98E-13,0,0,0,0,0,1.14E-12,5.75E-13,4660.11555,0,1,0,0,0,0,0,0,0,0,0,0.115,0,51066.76415,0,0,0,0,0,0,0,0,0,40522.74391,0,0,0,0,0,0,0,0,0,0,0,0,0,44850.2624,43155.57292,363.4019012
2,0,0,0,1,3,10,5,0,89394.99417,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89394.99417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50998.58863,76827.77249,367.487
2,1,0,0,1,3,10,2,2,0,0,0,0,0,0,0,0,31269.84915,0,10494.69925,0,0,0,0,0,0,0,0,0,1,0,0.414,0,0,0,0,0,0,0,0,0,31269.84915,0,25349.51509,0,0,0,0,0,0,0,0,0,0,0,0,0,39948.19197,29061.34851,231.5087898
